,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
,,,,,,,,,,
DPWH,"1,087,698,747,000","880,008,893,000","624,480,842,000","568,561,171,000","570,486,618,000","-255,528,051,000","-463,217,905,000","-55,919,671,000","-311,447,722,000","-519,137,576,000"
General Administration and Support,"13,314,782,000","20,468,476,000","17,234,981,000","20,234,981,000","20,234,981,000","-3,233,495,000","+3,920,199,000","+3,000,000,000","-233,495,000","+6,920,199,000"
Support to Operations,"10,345,107,000","82,426,508,000","47,784,173,000","50,784,673,000","46,752,465,000","-34,642,335,000","+37,439,066,000","+3,000,500,000","-31,641,835,000","+40,439,566,000"
ASSET PRESERVATION PROGRAM,"154,063,738,000","108,277,054,000","118,398,020,000","92,255,549,000","91,188,416,000","+10,120,966,000","-35,665,718,000","-26,142,471,000","-16,021,505,000","-61,808,189,000"
Preventive Maintenance,"104,236,234,000","49,610,108,000","51,814,404,000","29,019,922,000","27,919,923,000","+2,204,296,000","-52,421,830,000","-22,794,482,000","-20,590,186,000","-75,216,312,000"
      Preventive Maintenance - Primary Roads,"32,861,689,000","15,933,679,000","16,794,716,000","9,821,125,000","8,721,125,000","+861,037,000","-16,066,973,000","-6,973,591,000","-6,112,554,000","-23,040,564,000"
      Preventive Maintenance - Secondary Roads,"46,603,448,000","20,341,692,000","21,021,881,000","11,394,600,000","11,394,600,000","+680,189,000","-25,581,567,000","-9,627,281,000","-8,947,092,000","-35,208,848,000"
      Preventive Maintenance - Tertiary Roads,"24,771,097,000","13,334,737,000","13,997,807,000","7,804,197,000","7,804,198,000","+663,070,000","-10,773,290,000","-6,193,610,000","-5,530,540,000","-16,966,900,000"
Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,"21,070,822,000","21,143,332,000","21,060,808,000","19,832,100,000","19,864,966,000","-82,524,000","-10,014,000","-1,228,708,000","-1,311,232,000","-1,238,722,000"
      Rehabilitation/Reconstruction/Upgrading of Damaged Roads - Primary Roads,"6,361,206,000","9,603,039,000","5,361,640,000","5,224,821,000","5,541,687,000","-4,241,399,000","-999,566,000","-136,819,000","-4,378,218,000","-1,136,385,000"
      Rehabilitation/Reconstruction/Upgrading of Damaged Roads - Secondary Roads,"8,682,622,000","6,635,304,000","9,085,070,000","8,495,027,000","8,565,027,000","+2,449,766,000","+402,448,000","-590,043,000","+1,859,723,000","-187,595,000"
      Rehabilitation/Reconstruction/Upgrading of Damaged Roads - Tertiary Roads,"6,026,994,000","4,904,989,000","6,614,098,000","6,112,252,000","5,758,252,000","+1,709,109,000","+587,104,000","-501,846,000","+1,207,263,000","+85,258,000"
"Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide","21,780,373,000","25,778,574,000","27,122,298,000","26,241,607,000","26,241,607,000","+1,343,724,000","+5,341,925,000","-880,691,000","+463,033,000","+4,461,234,000"
"      Rehabilitation/Reconstruction/Upgrading of Roads with Slips, Slope Collapse and Landslide - Primary Roads","5,145,831,000","5,047,175,000","4,425,416,000","4,262,749,000","4,262,749,000","-621,759,000","-720,415,000","-162,667,000","-784,426,000","-883,082,000"
"      Rehabilitation/Reconstruction/Upgrading of Roads with Slips, Slope Collapse and Landslide - Secondary Roads","10,931,159,000","12,456,191,000","12,482,843,000","12,092,026,000","12,092,026,000","+26,652,000","+1,551,684,000","-390,817,000","-364,165,000","+1,160,867,000"
"      Rehabilitation/Reconstruction/Upgrading of Roads with Slips, Slope Collapse and Landslide - Tertiary Roads","5,703,383,000","8,275,208,000","10,214,039,000","9,886,832,000","9,886,832,000","+1,938,831,000","+4,510,656,000","-327,207,000","+1,611,624,000","+4,183,449,000"
Construction/ Upgrading/ Rehabilitation of Drainage along National Roads,"6,976,309,000","11,745,040,000","18,400,510,000","17,161,920,000","17,161,920,000","+6,655,470,000","+11,424,201,000","-1,238,590,000","+5,416,880,000","+10,185,611,000"
      Construction/Upgrading/Rehabilitation of Drainage along National Roads - Primary Roads,"3,176,110,000","4,696,421,000","7,122,664,000","6,689,815,000","6,689,815,000","+2,426,243,000","+3,946,554,000","-432,849,000","+1,993,394,000","+3,513,705,000"
      Construction/Upgrading/Rehabilitation of Drainage along National Roads - Secondary Roads,"2,680,693,000","4,379,443,000","6,760,279,000","6,336,125,000","6,336,125,000","+2,380,836,000","+4,079,586,000","-424,154,000","+1,956,682,000","+3,655,432,000"
      Construction/Upgrading/Rehabilitation of Drainage along National Roads - Tertiary Roads,"1,119,506,000","2,669,176,000","4,517,567,000","4,135,980,000","4,135,980,000","+1,848,391,000","+3,398,061,000","-381,587,000","+1,466,804,000","+3,016,474,000"
NETWORK DEVELOPMENT PROGRAM,"112,671,305,000","182,541,418,000","139,422,327,000","112,058,127,000","102,848,447,000","-43,119,091,000","+26,751,022,000","-27,364,200,000","-70,483,291,000","-613,178,000"
Road Widening,"31,675,430,000","36,427,413,000","35,508,970,000","33,025,117,000","33,025,123,000","-918,443,000","+3,833,540,000","-2,483,853,000","-3,402,296,000","+1,349,687,000"
      Road Widening - Primary Roads,"15,435,573,000","17,911,668,000","10,802,505,000","10,537,844,000","10,537,849,000","-7,109,163,000","-4,633,068,000","-264,661,000","-7,373,824,000","-4,897,729,000"
      Road Widening - Secondary Roads,"12,958,232,000","13,064,554,000","19,663,033,000","17,943,726,000","17,943,727,000","+6,598,479,000","+6,704,801,000","-1,719,307,000","+4,879,172,000","+4,985,494,000"
      Road Widening - Tertiary Roads,"3,281,625,000","5,451,191,000","5,043,432,000","4,543,547,000","4,543,547,000","-407,759,000","+1,761,807,000","-499,885,000","-907,644,000","+1,261,922,000"
Construction of By-pass and Diversion Roads,"56,778,640,000","117,742,563,000","79,390,589,000","55,738,761,000","46,829,075,000","-38,351,974,000","+22,611,949,000","-23,651,828,000","-62,003,802,000","-1,039,879,000"
Construction of Missing Links / New Roads,"18,285,563,000","23,783,534,000","18,470,301,000","17,293,565,000","17,093,565,000","-5,313,233,000","+184,738,000","-1,176,736,000","-6,489,969,000","-991,998,000"
Construction of Flyovers / Interchanges / Underpasses / Long Span Bridges,"1,453,504,000","1,206,958,000","956,958,000","1,129,669,000","1,229,669,000","-250,000,000","-496,546,000","+172,711,000","-77,289,000","-323,835,000"
Off-Carriageway Improvement,"2,461,669,000","1,892,699,000","3,167,199,000","3,062,788,000","3,062,788,000","+1,274,500,000","+705,530,000","-104,411,000","+1,170,089,000","+601,119,000"
      Off-Carriageway Improvement - Primary Roads,"971,632,000","823,160,000","917,198,000","886,361,000","886,361,000","+94,038,000","-54,434,000","-30,837,000","+63,201,000","-85,271,000"
      Off-Carriageway Improvement - Secondary Roads,"902,061,000","335,550,000","1,479,236,000","1,424,676,000","1,424,676,000","+1,143,686,000","+577,175,000","-54,560,000","+1,089,126,000","+522,615,000"
      Off-Carriageway Improvement - Tertiary Roads,"587,976,000","733,989,000","770,765,000","751,751,000","751,751,000","+36,776,000","+182,789,000","-19,014,000","+17,762,000","+163,775,000"
Paving of Unpaved Roads,"2,016,499,000","1,488,251,000","1,928,310,000","1,808,227,000","1,608,227,000","+440,059,000","-88,189,000","-120,083,000","+319,976,000","-208,272,000"
      Paving of Unpaved Roads - Primary Roads,0,"2,850,000","3,413,000","3,254,000","3,254,000","+563,000","+3,413,000","-159,000","+404,000","+3,254,000"
      Paving of Unpaved Roads - Secondary Roads,"939,366,000","730,685,000","808,550,000","745,227,000","545,227,000","+77,865,000","-130,816,000","-63,323,000","+14,542,000","-194,139,000"
      Paving of Unpaved Roads - Tertiary Roads,"1,077,133,000","754,716,000","1,116,347,000","1,059,746,000","1,059,746,000","+361,631,000","+39,214,000","-56,601,000","+305,030,000","-17,387,000"
BRIDGE PROGRAM,"42,564,250,000","52,265,623,000","43,322,521,000","40,880,183,000","37,647,797,000","-8,943,102,000","+758,271,000","-2,442,338,000","-11,385,440,000","-1,684,067,000"
Replacement of Bridges (Temporary to Permanent),0,"65,000,000","65,000,000","61,659,000","61,659,000",0,"+65,000,000","-3,341,000","-3,341,000","+61,659,000"
Replacement of Permanent Weak Bridges,"6,384,384,000","8,204,914,000","7,892,274,000","7,772,075,000","7,751,866,000","-312,640,000","+1,507,890,000","-120,199,000","-432,839,000","+1,387,691,000"
Retrofitting / Strengthening of Permanent Bridges,"10,424,105,000","7,634,932,000","4,987,106,000","7,429,913,000","7,429,912,000","-2,647,826,000","-5,436,999,000","+2,442,807,000","-205,019,000","-2,994,192,000"
Rehabilitation / Major Repair of Permanent Bridges,"5,321,886,000","5,807,050,000","5,248,950,000","4,925,151,000","4,525,151,000","-558,100,000","-72,936,000","-323,799,000","-881,899,000","-396,735,000"
Widening of Permanent Bridges,"12,992,738,000","15,119,413,000","11,846,016,000","11,184,050,000","11,184,051,000","-3,273,397,000","-1,146,722,000","-661,966,000","-3,935,363,000","-1,808,688,000"
Construction of New Bridges,"7,441,137,000","15,434,314,000","13,283,175,000","9,507,335,000","6,695,158,000","-2,151,139,000","+5,842,038,000","-3,775,840,000","-5,926,979,000","+2,066,198,000"
FLOOD MANAGEMENT PROGRAM,"249,811,719,000","250,825,557,000","15,769,796,000","10,206,196,000","4,760,960,000","-235,055,761,000","-234,041,923,000","-5,563,600,000","-240,619,361,000","-239,605,523,000"
Construction / Maintenance of Flood Mitigation Structures and Drainage Systems,"152,305,352,000","160,312,041,000","1,253,510,000","970,381,000","470,381,000","-159,058,531,000","-151,051,842,000","-283,129,000","-159,341,660,000","-151,334,971,000"
Construction / Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,"97,506,367,000","90,513,516,000","14,516,286,000","9,235,815,000","4,290,579,000","-75,997,230,000","-82,990,081,000","-5,280,471,000","-81,277,701,000","-88,270,552,000"
CONVERGENCE AND SPECIAL SUPPORT PROGRAM,"486,184,322,000","167,790,413,000","234,235,951,000","233,165,944,000","259,078,034,000","+66,445,538,000","-251,948,371,000","-1,070,007,000","+65,375,531,000","-253,018,378,000"
Rehabilitation of Disaster-Related Infrastructure and Other Facilities,"1,000,000,000","1,000,000,000","1,000,000,000","7,000,000,000","7,000,000,000",0,0,"+6,000,000,000","+6,000,000,000","+6,000,000,000"
Construction / Improvement of Access Roads leading to Airports,"1,098,000,000","1,097,699,000","748,561,000","718,932,000","718,932,000","-349,138,000","-349,439,000","-29,629,000","-378,767,000","-379,068,000"
Construction / Improvement of Access Roads leading to Seaports,"2,633,477,000","1,719,751,000","1,224,876,000","1,137,144,000","1,187,144,000","-494,875,000","-1,408,601,000","-87,732,000","-582,607,000","-1,496,333,000"
Construction / Improvement of Access Roads leading to Declared Tourism Destinations,"6,107,767,000","3,550,000,000","3,859,967,000","3,781,245,000","4,186,247,000","+309,967,000","-2,247,800,000","-78,722,000","+231,245,000","-2,326,522,000"
"Construction / Improvement of Access Roads leading to Trades, Industries, and Economic Zones","5,583,560,000","5,778,000,000","3,938,438,000","3,836,248,000","3,836,248,000","-1,839,562,000","-1,645,122,000","-102,190,000","-1,941,752,000","-1,747,312,000"
Construction / Rehabilitation of Water Supply / Septage and Sewerage / Rain Water Collector Systems,"2,413,977,000","2,277,200,000","1,523,600,000","1,853,600,000","1,853,600,000","-753,600,000","-890,377,000","+330,000,000","-423,600,000","-560,377,000"
Construction / Improvement of Various Infrastructure in Support of National Security,"5,731,500,000","3,000,000,000","3,197,000,000",0,0,"+197,000,000","-2,534,500,000","-3,197,000,000","-3,000,000,000","-5,731,500,000"
Construction / Improvement of Access Roads leading to Railway Stations,"62,350,000","418,040,000","418,040,000","389,983,000","389,983,000",0,"+355,690,000","-28,057,000","-28,057,000","+327,633,000"
"Construction / Rehabilitation / Improvement of Facilities for Persons with Disabilities (PWDs) and Elderlies / Senior Citizens, including Gender-Responsive Facilities","480,000,000","510,000,000","510,000,000","510,000,000","510,000,000",0,"+30,000,000",0,0,"+30,000,000"
Special Road Fund - Motor Vehicle User's Charge (MVUC) as per RA 11239,"34,748,020,000","18,331,730,000","15,787,216,000","14,383,704,000","14,297,127,000","-2,544,514,000","-18,960,804,000","-1,403,512,000","-3,948,026,000","-20,364,316,000"
Sustainable Infrastructure Projects Alleviating Gaps (SIPAG),"227,293,184,000","69,725,362,000","111,031,981,000","110,649,106,000","110,245,825,000","+41,306,619,000","-116,261,203,000","-382,875,000","+40,923,744,000","-116,644,078,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Access Roads and/or Bridges from the National Road/s leading to Major/Strategic Public Buildings/Facilities,"136,825,483,000","46,491,698,000","92,971,533,000","88,125,829,000","87,722,549,000","+46,479,835,000","-43,853,950,000","-4,845,704,000","+41,634,131,000","-48,699,654,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Access Roads and/or Bridges from the National Roads connecting to Indigenous People (IP) Communities,"786,000,000","2,246,400,000","3,495,661,000","3,374,857,000","3,374,857,000","+1,249,261,000","+2,709,661,000","-120,804,000","+1,128,457,000","+2,588,857,000"
"      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Interjurisdictional Roads and/or Bridges (or, roads that traverse multiple LGU jurisdictions)","17,487,514,000","5,953,500,000","6,266,099,000","5,936,484,000","5,936,484,000","+312,599,000","-11,221,415,000","-329,615,000","-17,016,000","-11,551,030,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Coastal Roads to Augment Resiliency of Coastal Communities,"17,750,677,000","1,726,700,000","603,700,000","578,410,000","578,410,000","-1,123,000,000","-17,146,977,000","-25,290,000","-1,148,290,000","-17,172,267,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Coastal Roads / Causeway for Environmental Protection/Conservation,,0,0,0,0,0,0,0,0,0
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Major/Strategic Public Buildings/Facilities,"5,359,815,000","3,245,557,000","5,017,132,000","5,168,943,000","5,168,942,000","+1,771,575,000","-342,683,000","+151,811,000","+1,923,386,000","-190,872,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Flood Mitigation Structures protecting Major/Strategic Public Buildings/Facilities,"46,491,068,000","9,447,507,000",0,0,0,"-9,447,507,000","-46,491,068,000",0,"-9,447,507,000","-46,491,068,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Evacuation Centers / Public Health Facilities,"2,592,627,000","614,000,000","2,182,930,000","2,272,930,000","2,272,930,000","+1,568,930,000","-409,697,000","+90,000,000","+1,658,930,000","-319,697,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Public Water Supply System,0,0,"345,278,000","345,105,000","345,105,000","+345,278,000","+345,278,000","-173,000","+345,105,000","+345,105,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Local Ports and Boat Landings,0,0,"49,648,000","49,648,000","49,648,000","+49,648,000","+49,648,000",0,"+49,648,000","+49,648,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Climate-Resilient and Green Infrastructure Features,0,0,"100,000,000","100,000,000","100,000,000","+100,000,000","+100,000,000",0,"+100,000,000","+100,000,000"
      Sustainable Infrastructure Projects Alleviating Gaps (SIPAG) - Multi-Purpose Buildings/Facilities to Support Local Services,,,,"4,696,900,000","4,696,900,000",0,0,"+4,696,900,000","+4,696,900,000","+4,696,900,000"
Basic Infrastructure Program,"199,032,487,000","60,382,631,000","90,996,272,000","88,905,982,000","114,852,928,000","+30,613,641,000","-108,036,215,000","-2,090,290,000","+28,523,351,000","-110,126,505,000"
      Basic Infrastructure Program (BIP) - Access Roads and/or Bridges from the National Road/s leading to Major/Strategic Public Buildings/Facilities,"48,425,772,000","16,520,374,000","26,346,514,000","24,391,422,000","34,178,292,000","+9,826,140,000","-22,079,258,000","-1,955,092,000","+7,871,048,000","-24,034,350,000"
      Basic Infrastructure Program (BIP) - Access Roads and/or Bridges from the National Roads connecting to Indigenous People (IP) Communities,"1,583,000,000","483,000,000","563,200,000","559,181,000","609,181,000","+80,200,000","-1,019,800,000","-4,019,000","+76,181,000","-1,023,819,000"
"      Basic Infrastructure Program (BIP) - Interjurisdictional Roads and/or Bridges (or, roads that traverse multiple LGU jurisdictions)","1,164,000,000","1,774,033,000","691,033,000","645,550,000","645,550,000","-1,083,000,000","-472,967,000","-45,483,000","-1,128,483,000","-518,450,000"
      Basic Infrastructure Program (BIP) - Flood Mitigation Structures protecting Major/Strategic Public Buildings/Facilities,"50,317,675,000","8,024,783,000",0,0,0,"-8,024,783,000","-50,317,675,000",0,"-8,024,783,000","-50,317,675,000"
      Basic Infrastructure Program (BIP) - Multi-Purpose Buldings/Facilities to Support Social Services,"89,089,294,000","29,688,941,000","58,977,953,000","58,917,182,000","71,930,758,000","+29,289,012,000","-30,111,341,000","-60,771,000","+29,228,241,000","-30,172,112,000"
      Basic Infrastructure Program (BIP) - Public Water Supply System,"3,526,246,000","1,269,500,000","1,946,716,000","1,946,716,000","2,528,216,000","+677,216,000","-1,579,530,000",0,"+677,216,000","-1,579,530,000"
      Basic Infrastructure Program (BIP) - Coastal Roads to Augment Resiliency of Coastal Communities,"930,000,000","545,000,000","290,000,000","273,848,000","293,848,000","-255,000,000","-640,000,000","-16,152,000","-271,152,000","-656,152,000"
      Basic Infrastructure Program (BIP) - Major/Strategic Public Buildings/Facilities,"607,000,000","744,500,000","1,210,856,000","1,210,856,000","1,210,856,000","+466,356,000","+603,856,000",0,"+466,356,000","+603,856,000"
      Basic Infrastructure Program (BIP) - Evacuation Centers / Public Health Facilities,"3,389,500,000","1,312,500,000","905,000,000","905,000,000","3,045,000,000","-407,500,000","-2,484,500,000",0,"-407,500,000","-2,484,500,000"
      Basic Infrastructure Program (BIP) - Local Ports and Boat Landing,0,"20,000,000","65,000,000","56,227,000","411,227,000","+45,000,000","+65,000,000","-8,773,000","+36,227,000","+56,227,000"
LOCAL PROGRAM,"18,743,524,000","15,413,844,000","8,313,073,000","8,975,518,000","7,975,518,000","-7,100,771,000","-10,430,451,000","+662,445,000","-6,438,326,000","-9,768,006,000"
      Buildings and Other Structures - Multipurpose / Facilities - National Building Program,"17,345,028,000","11,413,844,000","7,313,073,000","7,975,518,000","6,975,518,000","-4,100,771,000","-10,031,955,000","+662,445,000","-3,438,326,000","-9,369,510,000"
"      Public-Private Partnership Strategic Support Fund (including ROW, Subsidy, and Variations)","1,398,496,000","4,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","-3,000,000,000","-398,496,000",0,"-3,000,000,000","-398,496,000"
,,,,,,,,,,
Vetoed items,"26,065,700,000",,,,,,,,,