Line Item,NEP,HGAB,HGAB - NEP,Senate CR,Senate CR - HGAB,SGAB,SGAB - HGAB
Strengthening Assistance for Government Infrastructure and Social Programs,"80,863,172,000","45,093,691,000","-35,769,481,000",0,"-45,093,691,000",0,"-45,093,691,000"
Budgetary Support to Government-Owned and/or -Controlled Corporations,"6,895,000,000","6,895,000,000",0,"6,895,000,000",0,"6,895,000,000",0
Support for Foreign-Assisted Projects,"97,305,671,000","97,305,671,000",0,"97,305,671,000",0,"97,305,671,000",0
Government of the Philippines Counterpart of Foreign-Assisted Projects,,"35,769,481,000","+35,769,481,000","35,769,481,000",0,"35,769,481,000",0
Program on Risk Management,"3,600,000,000","3,600,000,000",0,0,"-3,600,000,000",0,"-3,600,000,000"
"Refund of the Service Development Fee for the Right to Develop the Nampeidai Property in Tokyo, Japan","210,579,000","210,579,000",0,0,"-210,579,000",0,"-210,579,000"
Prior Yearsâ€™ LGU Shares,"14,623,000","14,623,000",0,"14,623,000",0,"14,623,000",0
Public Health Emergency Benefits and Allowances for Health Care and Non-Healthcare Workers,"6,766,760,000",0,"-6,766,760,000",0,0,0,0
Revised AFP Modernization Program,"50,000,000,000","50,000,000,000",0,"30,000,000,000","-20,000,000,000","30,000,000,000","-20,000,000,000"
Fiscal Support Arrearages for Comprehensive Automotive Resurgence Strategy (CARS) Program,"333,504,000","333,504,000",0,"4,320,765,000","+3,987,261,000","4,320,765,000","+3,987,261,000"
Marawi Siege Victims Compensation Program,"2,000,000,000","2,000,000,000",0,0,"-2,000,000,000",0,"-2,000,000,000"
Comprehensive and Adequate Insurance Protection of Strategically Important Government Assets and Interest,"2,000,000,000","2,000,000,000",0,0,"-2,000,000,000",0,"-2,000,000,000"
Revitalizing the Automotive Industry for Competitiveness Enancement (RACE) PROGRAM,,,,"250,000,000","+250,000,000","250,000,000","+250,000,000"
TOTAL UNPROGRAMMED APPROPRIATIONS,"249,989,309,000","243,222,549,000","-6,766,760,000","174,555,540,000","-68,667,009,000","174,555,540,000","-68,667,009,000"